INPUT                     STACK                                                                                                                                                                                                                                                                               ACTION
('}', '}')                [6, 'letStatement', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                                                                                                REDUCE 54
('}', '}')                [134, 'statement', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                                                                                                 REDUCE 90
('}', '}')                [133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                                                                                                SHIFT 148
('else', 'else')          [148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                                                                                      SHIFT 159
('{', '{')                [159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                                                                         SHIFT 166
('let', 'let')            [166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                                                               SHIFT 17
('IDENTIFIER', 'x')       [17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                                                    SHIFT 28
('=', '=')                [28, 'IDENTIFIER', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                                  REDUCE 45
('=', '=')                [29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                                     SHIFT 60
('IDENTIFIER', 'x')       [60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                            SHIFT 51
('-', '-')                [51, 'IDENTIFIER', 60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                          REDUCE 45
('-', '-')                [40, 'varName', 60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                             REDUCE 47
('-', '-')                [37, 'term', 60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                SHIFT 78
('LITERAL_INT', '2')      [78, '-', 37, 'term', 60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                       REDUCE 6
